timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
2025-12-16 17:57:16.912,0.000463,-0.000114,0.000809,0.001241,-0.001163,-0.001350
2025-12-16 17:57:16.962,0.000192,0.000304,-0.000039,0.000623,0.001022,-0.000879
2025-12-16 17:57:17.012,0.000111,0.000021,0.000604,-0.000316,-0.002231,0.000453
2025-12-16 17:57:17.062,-0.000003,-0.000697,-0.000272,-0.000252,0.000659,-0.001247
2025-12-16 17:57:17.112,-0.001587,-0.000204,0.000571,-0.000641,-0.000469,0.000890
2025-12-16 17:57:17.162,-0.001035,-0.001482,0.003888,0.000176,-0.010636,0.000726
2025-12-16 17:57:17.213,-0.002966,-0.003591,0.000003,-0.001886,-0.004541,0.000467
2025-12-16 17:57:17.262,-0.003704,-0.004721,-0.000098,-0.001373,-0.004777,0.000861
2025-12-16 17:57:17.312,-0.003687,-0.003320,0.000223,-0.000885,0.000826,-0.002296
2025-12-16 17:57:17.362,-0.002633,-0.000106,-0.000381,-0.000437,0.001372,0.001549
2025-12-16 17:57:17.413,-0.001416,0.002090,-0.002214,0.002674,0.005771,-0.007489
2025-12-16 17:57:17.462,-0.007154,0.010060,-0.003865,0.001296,0.003601,0.009957
2025-12-16 17:57:17.512,-0.005854,0.009700,-0.004003,-0.000882,0.004995,-0.001830
2025-12-16 17:57:17.562,-0.002491,0.001840,-0.002661,0.002160,-0.001999,-0.001953
2025-12-16 17:57:17.612,-0.003729,-0.001515,-0.004229,-0.000389,0.008299,-0.002440
2025-12-16 17:57:17.662,-0.003714,-0.000040,-0.000360,-0.000849,0.000736,0.002911
2025-12-16 17:57:17.712,-0.000416,-0.001636,0.002287,0.002837,-0.000709,-0.002169
2025-12-16 17:57:17.762,-0.000774,-0.002693,0.003652,0.003664,-0.011643,0.004635
2025-12-16 17:57:17.813,-0.005781,-0.002352,-0.002102,-0.002736,-0.005010,0.007306
2025-12-16 17:57:17.862,-0.004735,-0.011008,-0.003949,-0.000810,0.004487,-0.006162
2025-12-16 17:57:17.912,-0.003919,-0.010763,-0.001046,0.000997,0.003711,-0.009608
2025-12-16 17:57:17.962,-0.002152,-0.006502,0.003107,0.006140,-0.005474,-0.000790
2025-12-16 17:57:18.013,-0.002414,-0.003434,0.002764,0.003670,0.001538,-0.003312
2025-12-16 17:57:18.063,-0.002894,0.000798,-0.001179,0.000224,0.005257,0.002189
2025-12-16 17:57:18.113,-0.000738,-0.000793,-0.003069,-0.007114,0.002583,-0.004993
2025-12-16 17:57:18.163,-0.001223,-0.000658,-0.001416,-0.001331,0.003084,-0.000536
2025-12-16 17:57:18.212,-0.006233,-0.002024,-0.002849,-0.001232,0.004205,0.004043
2025-12-16 17:57:18.263,-0.003931,-0.009576,-0.002055,-0.003304,0.000082,-0.008443
2025-12-16 17:57:18.313,-0.008944,-0.010557,-0.003481,-0.004715,-0.000676,-0.002050
2025-12-16 17:57:18.363,-0.010398,-0.009925,-0.002409,-0.001948,-0.001754,0.001741
2025-12-16 17:57:18.413,-0.009807,-0.010492,-0.002836,-0.001790,-0.001612,0.000527
2025-12-16 17:57:18.463,-0.008557,-0.007714,-0.000634,0.001393,-0.001060,0.002897
2025-12-16 17:57:18.512,-0.004406,-0.007120,-0.001731,-0.001064,0.000284,-0.007815
2025-12-16 17:57:18.565,-0.005541,-0.006355,-0.001862,-0.000843,0.002954,-0.001324
2025-12-16 17:57:18.613,-0.004099,-0.008740,0.001285,-0.000383,-0.009221,-0.005584
2025-12-16 17:57:18.662,-0.005263,-0.008391,-0.002293,-0.001741,0.000146,-0.003529
2025-12-16 17:57:18.713,-0.004259,-0.009744,-0.004252,-0.004252,0.002487,-0.008289
2025-12-16 17:57:18.762,-0.007675,-0.002912,-0.003240,0.000577,0.007502,0.003810
2025-12-16 17:57:18.812,-0.004305,-0.001841,-0.000210,0.000202,-0.001501,0.000772
2025-12-16 17:57:18.863,-0.002408,0.000029,-0.002235,0.002879,0.004848,-0.002721
2025-12-16 17:57:18.912,-0.002338,0.005198,-0.002232,0.005331,0.005810,0.003841
2025-12-16 17:57:18.962,0.003080,0.004286,0.002222,-0.001372,-0.005107,0.001890
2025-12-16 17:57:19.012,0.005625,0.002845,0.000933,0.002728,0.001274,-0.002117
2025-12-16 17:57:19.062,0.004724,0.001916,0.001669,0.002127,0.006139,-0.007514
2025-12-16 17:57:19.112,0.001527,-0.000572,0.001770,0.000123,-0.004139,-0.001544
2025-12-16 17:57:19.162,-0.000245,0.000102,-0.000336,0.000064,-0.000474,0.001021
2025-12-16 17:57:19.212,-0.000434,0.000873,-0.000036,0.000140,0.000267,0.001842
2025-12-16 17:57:19.262,-0.000001,0.000584,0.000576,0.000580,-0.002279,0.001783
2025-12-16 17:57:19.312,0.001855,-0.000364,0.001707,0.000932,-0.004907,-0.001007
2025-12-16 17:57:19.362,0.000880,0.000930,0.001621,0.000236,-0.000615,-0.000137
2025-12-16 17:57:19.412,-0.001330,0.006895,-0.000596,0.001525,0.006353,0.008719
2025-12-16 17:57:19.462,0.003740,0.001772,-0.000720,-0.002766,-0.000373,-0.003875
2025-12-16 17:57:19.513,0.002636,0.004297,-0.000741,-0.001648,0.001591,0.000763
2025-12-16 17:57:19.562,-0.000955,0.003002,-0.003130,-0.006115,0.001611,0.003532
2025-12-16 17:57:19.612,0.000366,0.000265,-0.000324,-0.004948,-0.004254,0.000430
2025-12-16 17:57:19.662,-0.001221,0.005109,0.000073,-0.001794,-0.004463,0.002936
2025-12-16 17:57:19.712,-0.002022,0.011042,-0.003389,-0.002431,0.001058,-0.001403
2025-12-16 17:57:19.762,-0.003688,0.006276,-0.003533,-0.005598,0.000690,-0.001482
2025-12-16 17:57:19.812,0.000467,0.002247,-0.000414,0.002245,-0.002354,-0.014491
2025-12-16 17:57:19.862,-0.004824,0.007138,-0.004120,-0.001488,0.004247,-0.005601
2025-12-16 17:57:19.912,-0.004247,0.006586,-0.004311,-0.003279,-0.002627,-0.002223
